schema,function,args,returns,language,kind,volatility,security_definer,leakproof,comment
public,award_first_topup_bonus,,trigger,plpgsql,f,v,true,false,null
public,award_first_topup_bonus,"p_canonical_user_id text, p_topup_amount numeric, p_bonus_amount numeric, p_currency text, p_provider text, p_tx_ref text","TABLE(balance_before numeric, balance_after numeric, bonus_applied boolean, bonus_amount numeric)",plpgsql,f,v,false,false,null
public,award_first_topup_bonus_via_webhook,"p_provider_event_id text, p_preferred_currency text, p_bonus_amount numeric","TABLE(success boolean, bonus_applied boolean, bonus_amount numeric, balance_before numeric, balance_after numeric, canonical_user_id text, credited_amount numeric, credited_currency text)",plpgsql,f,v,true,false,null
public,award_welcome_bonus,"p_wallet text, p_threshold numeric",void,plpgsql,f,v,false,false,null
public,award_welcome_bonus,"p_wallet text, p_threshold numeric, p_bonus numeric",void,plpgsql,f,v,false,false,null
public,backfill_bonus_spend_competition,p_limit integer,integer,plpgsql,f,v,false,false,null
public,backfill_competition_entries,p_competition_id uuid,void,plpgsql,f,v,false,false,null
public,balance_ledger_sync_wallet,,trigger,plpgsql,f,v,true,false,null
public,bcast_ticket_changes,,trigger,plpgsql,f,v,true,false,null
public,bcast_winner_changes,,trigger,plpgsql,f,v,true,false,null
public,block_specific_canonical_user,,trigger,plpgsql,f,v,false,false,null
public,broadcast_table_changes,,trigger,plpgsql,f,v,true,false,null
public,calculate_user_max_tickets,"p_competition_id uuid, p_user_id text",jsonb,plpgsql,f,v,true,false,null
public,call_profiles_processor_async,,trigger,plpgsql,f,v,false,false,null
public,can_accept_tickets,"p_competition_id uuid, p_ticket_count integer",boolean,plpgsql,f,v,true,false,null
public,canonical_users_normalize,,trigger,plpgsql,f,v,false,false,Normalizes wallet addresses to lowercase and auto-generates canonical_user_id (skips temp placeholders)
public,canonical_users_normalize_before_write,,trigger,plpgsql,f,v,false,false,Advanced normalization that ensures canonical_user_id and wallet_address consistency (skips temp placeholders)
public,check_and_mark_competition_sold_out,p_competition_id text,jsonb,plpgsql,f,v,true,false,null
public,check_and_mark_competition_sold_out,p_competition_id uuid,boolean,plpgsql,f,v,true,false,null
